<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.07.29	12:00:00	0.89519	0.89537	0.89503	0.89508	480	0	29
2025.07.29	12:20:00	0.89512	0.89567	0.89510	0.89566	569	0	29
2025.07.29	12:40:00	0.89566	0.89569	0.89536	0.89554	422	0	29
2025.07.29	13:00:00	0.89554	0.89568	0.89533	0.89562	536	0	29
2025.07.29	13:20:00	0.89562	0.89598	0.89541	0.89572	431	0	29
2025.07.29	13:40:00	0.89572	0.89582	0.89524	0.89531	611	0	29
2025.07.29	14:00:00	0.89531	0.89535	0.89480	0.89500	631	0	29
2025.07.29	14:20:00	0.89500	0.89514	0.89459	0.89463	512	0	29
2025.07.29	14:40:00	0.89464	0.89490	0.89436	0.89466	754	0	29
2025.07.29	15:00:00	0.89469	0.89503	0.89460	0.89490	735	0	29
2025.07.29	15:20:00	0.89491	0.89513	0.89473	0.89500	670	0	29
2025.07.29	15:40:00	0.89500	0.89529	0.89482	0.89519	663	0	29
2025.07.29	16:00:00	0.89517	0.89534	0.89447	0.89449	652	0	29
2025.07.29	16:20:00	0.89449	0.89509	0.89444	0.89507	715	0	29
2025.07.29	16:40:00	0.89508	0.89573	0.89503	0.89559	862	0	29
2025.07.29	17:00:00	0.89559	0.89560	0.89411	0.89414	1222	0	29
2025.07.29	17:20:00	0.89413	0.89508	0.89411	0.89508	986	0	29
2025.07.29	17:40:00	0.89508	0.89688	0.89459	0.89688	1300	0	29
2025.07.29	18:00:00	0.89688	0.89705	0.89635	0.89638	1299	0	29
2025.07.29	18:20:00	0.89637	0.89653	0.89607	0.89607	766	0	29
2025.07.29	18:40:00	0.89607	0.89649	0.89587	0.89649	713	0	29
2025.07.29	19:00:00	0.89649	0.89664	0.89630	0.89660	721	0	29
2025.07.29	19:20:00	0.89659	0.89664	0.89628	0.89664	509	0	29
2025.07.29	19:40:00	0.89663	0.89694	0.89660	0.89677	453	0	29
2025.07.29	20:00:00	0.89677	0.89728	0.89667	0.89718	622	0	29
2025.07.29	20:20:00	0.89717	0.89733	0.89693	0.89695	610	0	29
2025.07.29	20:40:00	0.89695	0.89696	0.89671	0.89677	679	0	29
2025.07.29	21:00:00	0.89677	0.89680	0.89650	0.89665	579	0	29
2025.07.29	21:20:00	0.89665	0.89667	0.89639	0.89654	447	0	29
2025.07.29	21:40:00	0.89655	0.89688	0.89647	0.89688	344	0	29
2025.07.29	22:00:00	0.89688	0.89688	0.89660	0.89676	658	0	29
2025.07.29	22:20:00	0.89676	0.89687	0.89663	0.89669	504	0	29
2025.07.29	22:40:00	0.89669	0.89720	0.89637	0.89707	343	0	29
2025.07.29	23:00:00	0.89707	0.89747	0.89704	0.89731	224	0	29
2025.07.29	23:20:00	0.89733	0.89745	0.89676	0.89676	195	0	29
2025.07.29	23:40:00	0.89675	0.89685	0.89610	0.89614	391	0	29
2025.07.30	00:00:00	0.89623	0.89652	0.89534	0.89618	114	0	50
